Shipment_ID,Distance_km,Shipment_Weight_kg,Traffic_Level,Weather_Risk,Number_of_Stops,Vehicle_Age_Years,Warehouse_Delay_Hours,Priority,Delivery_Time_Hours
SHIP-1367,725.23,438.51,4,3,7,9.0,2.68,Express,26.58
SHIP-1368,164.67,171.7,10,2,8,4.2,3.2,Standard,18.42
SHIP-1369,64.8,410.81,5,3,1,11.9,3.26,Standard,14.1
SHIP-1370,89.61,56.21,5,2,5,6.1,4.12,Standard,13.87
SHIP-1371,24.4,423.38,6,5,7,1.9,1.73,Standard,12.53
SHIP-1372,84.61,64.62,7,2,4,8.8,3.69,Express,11.2
SHIP-1373,549.58,199.25,8,4,4,4.2,2.69,Standard,23.07
SHIP-1374,66.24,398.85,8,1,4,12.0,3.99,Standard,15.11
SHIP-1375,261.99,75.81,2,1,6,11.8,4.95,Express,14.42
SHIP-1376,677.45,115.4,9,5,7,8.0,1.08,Standard,30.28
SHIP-1377,28.38,361.4,7,4,2,2.0,4.97,Standard,16.22
SHIP-1378,653.43,360.3,4,3,5,8.4,0.54,Standard,21.16
SHIP-1379,232.67,320.93,4,4,4,1.6,0.11,Standard,13.25
SHIP-1380,103.35,347.28,8,1,3,0.8,0.32,Express,11.84
SHIP-1381,560.42,271.82,4,1,7,10.0,1.77,Standard,23.37
SHIP-1382,506.86,126.65,6,4,6,2.9,3.2,Standard,23.11
SHIP-1383,703.2,173.5,5,4,7,4.9,0.44,Standard,25.69
SHIP-1384,590.71,91.62,3,1,5,11.7,0.13,Standard,19.96
SHIP-1385,644.75,454.32,10,3,6,4.4,4.69,Express,27.82
SHIP-1386,232.81,292.11,2,5,5,3.9,4.13,Standard,15.74
SHIP-1387,150.18,201.02,9,5,7,11.1,4.06,Standard,24.24
SHIP-1388,602.99,231.54,10,4,2,1.8,4.43,Express,26.47
SHIP-1389,647.4,473.69,9,5,5,9.2,3.53,Express,25.53
SHIP-1390,792.5,77.52,1,1,6,11.9,0.61,Standard,21.46
SHIP-1391,335.97,293.53,10,1,6,10.9,2.06,Standard,22.8
SHIP-1392,303.89,253.44,3,4,5,8.0,3.64,Express,16.34
SHIP-1393,623.37,306.12,8,4,7,4.1,1.47,Express,25.92
SHIP-1394,279.23,10.04,6,4,8,3.4,3.47,Standard,20.94
SHIP-1395,745.3,436.19,5,3,7,9.9,0.22,Express,23.66
SHIP-1396,688.15,466.13,5,5,5,10.6,1.6,Standard,25.73
SHIP-1397,348.91,283.0,6,4,1,6.5,2.79,Standard,18.77
SHIP-1398,603.19,348.63,7,2,5,3.3,3.2,Standard,25.3
SHIP-1399,606.09,461.33,1,2,2,1.8,2.93,Standard,19.02
